,h,t,r,type,newEntities,pair_c
18531,Q937493,Q4838583,is with,KG,,default
18532,Q2251342,Q32483,has,KG,,default
18533,Q32483,Q49614,has,KG,,default
18534,Q49614,To,is in,Open_KG,tail_,default
18535,Q60849,Q289,hosted,KG,,default
18536,Q191290,Q13582723,'s daughter is,KG,,default
18537,Q191290,Q308194,has,KG,,default
18538,Q484497,Q953939,is in,KG,,default
18539,Q156178,Q953939,friend in,KG,,default
18540,Q2251342,Q484497,has,KG,,default
18541,Q2251342,founding,was,Open_KG,tail_,default
18542,Q184224,Q34006,original leader of,KG,,default
18543,Q7278,Q23768,is in,KG,,default
18544,Q40912,her,by husband is,Open_KG,tail_,default
18545,his,Q211979,wife,Open_KG,head_,default
18546,Q1071027,Q716711,was made,KG,,default
18547,at Romanoff,Q127856,is in,Open_KG,head_,default
18548,Q657028,Q355384,was dubbed,KG,,default
18549,Q83478,Q706622,has,KG,,default
18550,Q1071233,Q126399,is with,KG,,default
18551,Q12147,1955,was failing In,Open_KG,tail_,default
18552,Q12147,1955,however was failing In,Open_KG,tail_,default
18553,Q2251342,Q372701,had developed,KG,,default
18554,Q2251342,Q12078,had developed,KG,,default
18555,Q170758,Q196672,esophagus,KG,,default
18556,It,Q191931,accommodate,Open_KG,head_,default
18557,It,then altered,was,Open_KG,head_tail_,default
18558,Q2471203,Q33767,has,KG,,default
18559,Q2471203,Q1072,has,KG,,default
18560,Q45898064,Q309481,give,KG,,default
18561,he,too upset however,was,Open_KG,head_tail_,default
18562,Q878070,Q483453,is in,KG,,default
18563,Q2251342,cremated,was,Open_KG,tail_,default
18564,Q152079,Q4888124,were interred in,KG,,default
18565,Q25205805,Q485716,is in,KG,,default
18566,he,Q4838583,had given to,Open_KG,head_,default
18567,it,inscribed,was,Open_KG,head_tail_,default
18568,it,On inscribed,was,Open_KG,head_tail_,default
18569,Q2251342,Q188886,has,KG,,default
18570,Q2562511,Q45190,is in,KG,,default
18571,Q2562511,Q2627975,is in,KG,,default
18572,Q2251342,Q109,was,KG,,default
18573,Q4958116,Q205380,is in,KG,,default
18574,Q4958116,Q35794,is in,KG,,default
18575,his,Q16390,death,Open_KG,head_,default
18576,Err:520,Q142,is in,Open_KG,head_,default
18577,Q15262570,1960,'s Breathless is,Open_KG,tail_,default
18578,Q15262570,Q86427,has,KG,,default
18579,Q26269989,Q467,is with,KG,,default
18580,Q33147,Q32483,has,KG,,default
18581,Q696575,Q2251342,aids 's,KG,,default
18582,Q2251342,Q45529,has,KG,,default
18583,Q37930,Q15921494,is in,KG,,default
18584,1997,Q1412049,in series is,Open_KG,head_,default
18585,Q170198,1997,is in,Open_KG,tail_,default
18586,Q1980247,Q211557,is in,KG,,default
18587,Q235065,Q60,is in,KG,,default
18588,her,Q60849,son,Open_KG,head_,default
18589,Q1758439,Q344983,is with,KG,,default
18590,Q16390,Q7075,is in,KG,,default
18591,Q16390,Q17157315,for resource is,KG,,default
18592,Q33999,Q52715628,is with,KG,,default
18593,Q1554231,Q17157315,1947 by,KG,,default
18594,Q56474015,Q17157315,at resource is,KG,,default
18595,Q11424,Q968159,categorised by,KG,,default
18596,Q732053,Q126399,subsidiary of,KG,,default
18597,Q188473,Q11425,is with,KG,,default
18598,Q2751586,Q6256,is in,KG,,default
18599,Q719395,Q2751586,covers,KG,,default
18600,Q515,Q1028,is in,KG,,default
18601,it,Q375336,is,Open_KG,head_,default
18602,Q1329910,Q189774,is in,KG,,default
18603,Q7560,Q93184,has,KG,,default
18604,Q131265,Q93184,is with,KG,,default
18605,Q36855159,Q7560,has,KG,,default
18606,Q36855159,them,turns,Open_KG,tail_,default
18607,Q93184,Q125191,is with,KG,,default
18608,Q517386,Q386724,is with,KG,,default
18609,Q36855159,Q83090,has,KG,,default
18610,He,Q11344,combines,Open_KG,head_,default
18611,his,Q48422,body,Open_KG,head_,default
18612,Q478798,Q121769,are connected with,KG,,default
18613,his,Q121769,body,Open_KG,head_,default
18614,Q7560,Q478798,has,KG,,default
18615,Q478798,connected,are,Open_KG,tail_,default
18616,Q11635,Q3707571,is,KG,,default
18617,It,Q389435,is complemented with,Open_KG,head_,default
18618,Q11446,Q189524,is in,KG,,default
18619,Q165112,provided,is,Open_KG,tail_,default
18620,Q656554,Q11635,named,KG,,default
18621,Q1136349,Q11635,also has introduced,KG,,default
18622,Q1136349,Q11635,also has introduced,KG,,default
18623,Q728646,Q500088,is with,KG,,default
18624,Q431289,Q1345584,was,KG,,default
18625,Q24869,Q192557,produced by,KG,,default
18626,Q24869,Q192557,produced by,KG,,default
18627,Q81205,Q6123139,Puss in,KG,,default
18628,Q763635,Q6123139,is in,KG,,default
18629,Q500088,Q11424,has also released,KG,,default
18630,Q289,Q259059,is in,KG,,default
18631,it,Q34929,be viewed in,Open_KG,head_,default
18632,Q458,Q30607098,has,KG,,default
18633,Q207184,Q248,category on,KG,,default
18634,Q5107,Q2221906,by Films is,KG,,default
18635,He,Q728944,allowed,Open_KG,head_,default
18636,Mendik,Q11424,focus on,Open_KG,head_,default
18637,Mendik,Q11424,preferred,Open_KG,head_,default
18638,Q15116397,Q12994,was In,KG,,default
18639,Q482980,Q7257997,performed,KG,,default
18640,Q20664283,Q1164740,is,KG,,default
18641,he,Q1740954,has,Open_KG,head_,default
18642,he,produced,has,Open_KG,head_tail_,default
18643,Q4780984,Q11424,is in,KG,,default
18644,Q11424,Q7366,has,KG,,default
18645,Q16005,Q7366,Over song is,KG,,default
18646,Q11424,Q7366,'s song is,KG,,default
18647,Q16869343,Q7366,has,KG,,default
18648,Q570,Q181767,is with,KG,,default
18649,Q7366,Q11424,is in,KG,,default
18650,Q159816,Q24238946,few months to,KG,,default
18651,Q309100,Q1983062,subject of,KG,,default
18652,Q11424,subject,of planning is,Open_KG,tail_,default
18653,Q4176708,Q173253,is in,KG,,default
18654,Q482994,Q2085515,was long,KG,,default
18655,I,Q19490,King of,Open_KG,head_,default
18656,We,dirty,'re,Open_KG,head_tail_,default
18657,Q180516,Q16992481,is in,KG,,default
18658,Wash,Q994352,group,Open_KG,head_,default
18659,Q11461,Q11424,is in,KG,,default
18660,Q30903,Q7390,is with,KG,,default
18661,Q11424,Q204854,has,KG,,default
18662,Q950376,Q11424,Cricket 's,KG,,default
18663,Q482994,Q3331189,being,KG,,default
18664,Q11424,Q1028714,has,KG,,default
18665,Q7414,1940,'s Pinocchio is,Open_KG,tail_,default
18666,Q1881437,Q4176708,first released,KG,,default
18667,Q11637,Q3331189,has,KG,,default
18668,Q47223,Q482994,is in,KG,,default
18669,Q739330,2014,is in,Open_KG,tail_,default
18670,Q11637,Q737939,is with,KG,,default
18671,Q737939,Q365199,is with,KG,,default
18672,Q11637,Q365199,is with,KG,,default
18673,Q3312129,Q26382,originally covered,KG,,default
18674,Q737939,Q365199,is with,KG,,default
18675,Q737939,Q365199,is with,KG,,default
18676,Q737939,Q365199,is with,KG,,default
18677,Q737939,Q7558519,with Arlen is,KG,,default
18678,Q448644,Q737939,is with,KG,,default
18679,we,to count,'re trying,Open_KG,head_tail_,default
18680,we,busy,'re,Open_KG,head_tail_,default
18681,we,to count,'re trying,Open_KG,head_tail_,default
18682,Q4049121,Q48674040,is in,KG,,default
18683,Q5,Q83180,appearance on,KG,,default
18684,Q5,Q148401,appearance of,KG,,default
18685,Q13359947,Q89,including people is,KG,,default
18686,Q1168555,Q11639,has,KG,,default
18687,Q13359947,Q4780984,including people is,KG,,default
18688,Q56019,Q48103,of half is,KG,,default
18689,Q13359947,Q190109,including people is,KG,,default
18690,Q2114394,Q8081,moments during,KG,,default
18691,Q242274,Q79784,has,KG,,default
18692,Q217199,Q482994,eventually supplanted,KG,,default
18693,Q24238946,Q11424,also contained,KG,,default
18694,Q7366,Q11461,is in,KG,,default
18695,Q155171,Q362009,is with,KG,,default
18696,Q2071405,Q325120,is in,KG,,default
18697,It,Q483501,featured,Open_KG,head_,default
18698,It,Q483501,featured,Open_KG,head_,default
18699,Q4176708,1995,is In,Open_KG,tail_,default
18700,Q19057481,Q23413,outside,KG,,default
18701,Q34467,Q34678,is in,KG,,default
18702,Q29033424,Q6842211,has,KG,,default
18703,Q155358,Q11424,is in,KG,,default
18704,Q19057481,Q30185,Munchkins As,KG,,default
18705,Q50602,Q11424,is in,KG,,default
18706,Q928670,Q1002615,Citizens of,KG,,default
18707,Q499512,Q739780,Land of,KG,,default
18708,Q928670,Q11424,Citizens in,KG,,default
18709,Glinda,Q42998,'s theme is,Open_KG,head_,default
18710,Glinda,Q184148,has,Open_KG,head_,default
18711,Q19057481,Q184148,has,KG,,default
18712,Q13359947,Q19057481,has,KG,,default
18713,This,Q263478,repeated,Open_KG,head_,default
18714,Q386880,Q3694806,is in,KG,,default
18715,Q15275920,Q1558,establishing scenes in,KG,,default
18716,Q4049121,Q1558,is in,KG,,default
18717,ride,Q79602,is in,Open_KG,head_,default
18718,Q578478,Q1554324,is In,KG,,default
18719,Q4049121,Q1558,is in,KG,,default
18720,Q242274,Q1206729,clicks,KG,,default
18721,Q7366,Q1353390,main purpose,KG,,default
18722,Q5,familiar,are,Open_KG,tail_,default
18723,Q3312129,Q6041949,are,KG,,default
18724,Q3312129,Q6041949,are,KG,,default
18725,We,You,vocal Thank Very Sweetly,Open_KG,head_tail_,default
18726,We,You,Thank Very Sweetly,Open_KG,head_tail_,default
18727,Q3282454,Q30668273,is in,KG,,default
18728,Q950354,Q7019297,'s Attack is,KG,,default
18729,Q23013699,Q3274806,'s Confession is,KG,,default
18730,Q950354,Q386880,'s Attack is,KG,,default
18731,Q928670,Q786279,Exit 's,KG,,default
18732,Q178049,Q19057481,Castle 's,KG,,default
18733,Q19057481,Q3331189,'s Castle is,KG,,default
18734,Q3444039,Q2588307,Leaving,KG,,default
18735,Q786279,Q55708078,has,KG,,default
18736,Q19057481,Q386880,has,KG,,default
18737,Q29863201,Q17514,is with,KG,,default
18738,Q786279,Q1129439,has,KG,,default
18739,Q3331189,Q131186,is with,KG,,default
18740,Q739780,Q11352,of Land is,KG,,default
18741,Q23013699,Q1378050,'s Confession is,KG,,default
18742,Q746628,Q7366,albums of,KG,,default
18743,Q15328,her,save,Open_KG,tail_,default
18744,Q1907525,fired,being,Open_KG,tail_,default
18745,Q4991371,Q3227176,break down,KG,,default
18746,Q2279062,blanks,is with,Open_KG,tail_,default
18747,Q5076185,Q1162163,is in,KG,,default
18748,Q658371,Q26382,be thrown over,KG,,default
18749,Q287,Q11472,is in,KG,,default
18750,Q34679,Q4780984,create,KG,,default
18751,they,Q6671777,side of,Open_KG,head_,default
18752,Q947766,Q11396408,was,KG,,default
18753,filming,Q824,is in,Open_KG,head_,default
18754,he,working,could keep,Open_KG,head_tail_,default
18755,Q127197,too late real,was,Open_KG,tail_,default
18756,Q127197,Q182221,is with,KG,,default
18757,It,Q6665461,blowing off,Open_KG,head_,default
18758,Q16885885,Q65,is in,KG,,default
18759,Noomis,Q7628770,performing,Open_KG,head_,default
18760,Q2576226,Q713102,Noomis,KG,,default
18761,Kerwood,Q188628,was on,Open_KG,head_,default
18762,Kerwood,Q188628,was on,Open_KG,head_,default
18763,Q103949,Q7973858,hanging from,KG,,default
18764,he,Q126017,ran into,Open_KG,head_,default
18765,Q9633,Q60040460,been,KG,,default
18766,Q16277785,Q9633,has,KG,,default
18767,Q2221906,Q975,is in,KG,,default
18768,Q9633,saved,were,Open_KG,tail_,default
18769,Q207808,Q220,is in,KG,,default
18770,Q40831,Q824,is in,KG,,default
18771,Q5566061,Q37017,was,KG,,default
18772,Q1668249,Q10566551,has,KG,,default
18773,Q1668249,Q577,again performing stunt work within,KG,,default
18774,Q81422,Q671713,has,KG,,default
18775,Q4,Q305178,were instrumental in,KG,,default
18776,Q4049121,Q44432,was,KG,,default
18777,Q23797,Q9128,is with,KG,,default
18778,burn tumorous,Q4,leading to,Open_KG,head_,default
18779,Q653916,filming,were killed during,Open_KG,tail_,default
18780,They,proven,were,Open_KG,head_tail_,default
18781,Q182442,Q554774,undo,KG,,default
18782,Q9289,Dangerous,Are,Open_KG,tail_,default
18783,Q48422,recovered,were,Open_KG,tail_,default
18784,Q620840,Q2754315,disregarded concerns,KG,,default
18785,Q2754315,Q38933,being,KG,,default
18786,Q11466,Q28452851,is in,KG,,default
18787,that would risk,Q650,is in,Open_KG,head_,default
18788,Q133105,filming,be shot during,Open_KG,tail_,default
18789,it,Q107679,was,Open_KG,head_,default
18790,her,Q19057481,character,Open_KG,head_,default
18791,Q32483,Q313498,Witch of,KG,,default
18792,He,Q739302,continue,Open_KG,head_,default
18793,He,Q927057,was replaced by,Open_KG,head_,default
18794,Q181774,Q532,filming cavalry charge scene through,KG,,default
18795,Q1813841,Q1129209,fell into,KG,,default
18796,Q192249,Q813911,making,KG,,default
18797,Q726,Q192249,has,KG,,default
18798,Q16917,Q326921,is with,KG,,default
18799,him,Q23387,use wheelchair for,Open_KG,head_,default
18800,Q171436,Q49005,grabbing,KG,,default
18801,Q1935609,Q7318,made by,KG,,default
18802,They,Q6123139,Died with,Open_KG,head_,default
18803,Q726,Q93188,tripped,KG,,default
18804,Budlong,Q16917,died few hours later in,Open_KG,head_,default
18805,Q283,Q739302,is in,KG,,default
18806,Q40531,Q283,filming,KG,,default
18807,Their,Q12812380,Honour,Open_KG,head_,default
18808,This,Q8261,been British,Open_KG,head_,default
18809,This,Q8261,was British,Open_KG,head_,default
18810,Q11424,Q1190554,was abandoned After,KG,,default
18811,he,Q10884,struck,Open_KG,head_,default
18812,Q171529,Q34038,go over,KG,,default
18813,Q283,Q484298,below,KG,,default
18814,she,Q615743,photographing,Open_KG,head_,default
18815,shop,Q615743,is in,Open_KG,head_,default
18816,Q3133312,Q7364,has,KG,,default
18817,Q287977,1963,committed suicide in,Open_KG,tail_,default
18818,Q359996,Q3242950,was diagnosed with,KG,,default
18819,Q359996,Q3242950,was,KG,,default
18820,he,Q12136,learned,Open_KG,head_,default
18821,Q1700513,1991,died in,Open_KG,tail_,default
18822,Q491114,Q171318,has,KG,,default
18823,Q491114,Q177232,has,KG,,default
18824,Q496098,Q3329375,developed,KG,,default
18825,Q11471,Q282049,is in,KG,,default
18826,him,Q846677,be replaced for,Open_KG,head_,default
18827,Q80739,stunt double,has,Open_KG,tail_,default
18828,Q726,Q1588,is in,KG,,default
18829,They,Q772580,Came to,Open_KG,head_,default
18830,Q42462,Q625642,has,KG,,default
18831,They,loose,let,Open_KG,head_tail_,default
18832,Q33999,Q16363,has,KG,,default
18833,Q739302,Q1123036,was on,KG,,default
18834,Q739302,tight,was,Open_KG,tail_,default
18835,Q2085515,Q1123036,do so,KG,,default
18836,Q317263,Q4049121,filming,KG,,default
18837,Q3462139,Q180284,has,KG,,default
18838,Q42786,Q4049121,was thrown off horse,KG,,default
18839,Q42786,Q4049121,rehearsing for,KG,,default
18840,Q3133312,Q23387,spent,KG,,default
18841,Q181917,Q9430,almost drowned during,KG,,default
18842,Q23387,Q16917,is in,KG,,default
18843,Q6881518,Q4115667,felt,KG,,default
18844,Burudchenko,Q5151,was,Open_KG,head_,default
18845,Q313498,Q8031674,Was,KG,,default
18846,Q60734974,Q286339,husband of,KG,,default
18847,Q103876,nearly killed,was,Open_KG,tail_,default
18848,Q4049121,Q1384373,is with,KG,,default
18849,Q214339,Q110206,is in,KG,,default
18850,Q40821,Q81938,alleviate,KG,,default
18851,Q759676,Q33767,is with,KG,,default
18852,Q6060450,bail out,simulate,Open_KG,tail_,default
18853,Q924236,Q216810,filming,KG,,default
18854,Q7437257,Q32483,claims,KG,,default
18855,his,Oddjob,character,Open_KG,head_tail_,default
18856,Q37172,him,washed overboard,Open_KG,tail_,default
18857,double,Q629,has,Open_KG,head_,default
18858,Q1343281,Q123,was filming On,KG,,default
18859,Q15925533,Q596073,has,KG,,default
18860,Q530808,Q10566551,swim to,KG,,default
18861,Q48422,Q573,was,KG,,default
18862,Q48422,recovered,was,Open_KG,tail_,default
18863,Q208708,Q130300,is in,KG,,default
18864,Q39631,Q11500,is in,KG,,default
18865,Streiner,Q3,has,Open_KG,head_,default
18866,Q32483,killed,is,Open_KG,tail_,default
18867,Q7873,Q16877935,attached to,KG,,default
18868,Q2221906,Q5549124,is with,KG,,default
18869,he,Q4049121,filming,Open_KG,head_,default
18870,Q197,Q13583449,was in,KG,,default
18871,He,Q13583449,wear safety harness in,Open_KG,head_,default
18872,his,Q127771,character,Open_KG,head_,default
18873,Q18034627,Q31029,grab,KG,,default
18874,he,lowest rung,grab,Open_KG,head_tail_,default
18875,Q18034627,Q6501125,fell to,KG,,default
18876,Q171558,Q24238946,appeared in,KG,,default
18877,fall,Q5294,was removed from,Open_KG,head_,default
18878,Q168291,Q826428,McDowell,KG,,default
18879,Q11424,Q4049121,During,KG,,default
18880,Q7364,so long,propped open for,Open_KG,tail_,default
18881,Q196672,which,is in,Open_KG,tail_,default
18882,Q196672,Q4049121,is in,KG,,default
18883,he,him,forcing,Open_KG,head_tail_,default
18884,Q900962,Q219629,for scene is,KG,,default
18885,Q43417,Q609276,is in,KG,,default
18886,Q283976,Q900962,is in,KG,,default
18887,Q202148,Q193176,injured,KG,,default
18888,Q95043,Q45701,slammed,KG,,default
18889,Q27957554,Q4,was,KG,,default
18890,Q41351,Q140,was mauled by,KG,,default
18891,Q637247,Q405385,suffer from,KG,,default
18892,he,Q11424,named,Open_KG,head_,default
18893,Q1420,Q150784,fell into,KG,,default
18894,Q214339,Q289,is in,KG,,default
18895,Q34493,Q11424,is in,KG,,default
18896,Q4049121,Q11424,was left in,KG,,default
18897,his,Q16226063,son,Open_KG,head_,default
18898,Q6847308,Q3,narrowly escaped with,KG,,default
18899,My,Q36970,Life,Open_KG,head_,default
18900,Q244615,Q2634111,is in,KG,,default
18901,Spoletini,Q620207,has,Open_KG,head_,default
18902,Q620207,almost amputated,was,Open_KG,tail_,default
18903,Q620207,Q3641076,was almost amputated According,KG,,default
18904,he,Q83180,jumped off,Open_KG,head_,default
18905,Q1702533,Q193078,has,KG,,default
18906,Q16245820,him,reached,Open_KG,tail_,default
18907,Q103784,Q4049121,filming,KG,,default
18908,Q1130125,Q48927761,is in,KG,,default
18909,Q7953,Q728,has,KG,,default
18910,Q184572,Q35197,smashing,KG,,default
18911,Q33767,Q7873,streaming in,KG,,default
18912,Q11424,Q4049121,In,KG,,default
18913,Q2530557,Q110,suffered heart attack During,KG,,default
18914,He,Q23387,returned later to,Open_KG,head_,default
18915,Q706338,Q1983062,filming,KG,,default
18916,Q6410440,Q838148,is in,KG,,default
18917,Q5074608,Q212156,has,KG,,default
18918,Q19265661,injured on 3 Jan. 1979,were,Open_KG,tail_,default
18919,Q19265661,severely injured on 3 Jan. 1979,were,Open_KG,tail_,default
18920,Q212156,Q4951483,is in,KG,,default
18921,Coultar,Q193078,had,Open_KG,head_,default
18922,Q3523016,injured far worse,was,Open_KG,tail_,default
18923,Q3523016,injured,was,Open_KG,tail_,default
18924,Q828909,Q7414,is in,KG,,default
18925,Q5210673,Q12128458,President of,KG,,default
18926,Q7081283,Q7628770,facilitate,KG,,default
18927,Q1420,Q6452175,hit,KG,,default
18928,Q83061,Q879844,remained,KG,,default
18929,Q8436,Q7414,sued,KG,,default
18930,Q5184855,injured,were,Open_KG,tail_,default
18931,Q15328,Q4049121,rehearsing,KG,,default
18932,Q5184855,injured,were,Open_KG,tail_,default
18933,Q2138984,Q1983062,filming,KG,,default
18934,That,Incredible,has,Open_KG,head_tail_,default
18935,Q569978,Q23768,is in,KG,,default
18936,Q19661111,Q42948,crashed into,KG,,default
18937,Q76469,Q9655,is in,KG,,default
18938,We,Q11471,'ll do,Open_KG,head_,default
18939,Q214339,partially rewritten,was,Open_KG,tail_,default
18940,Q214339,rewritten,was,Open_KG,tail_,default
18941,Q48103,Q11424,is in,KG,,default
18942,Q21488871,Q32483,has,KG,,default
18943,Q37801,Q1420,was left quadriplegic,KG,,default
18944,Q37801,Q1420,being,KG,,default
18945,he,Q1420,was,Open_KG,head_,default
18946,Q8441,Q3711325,filming,KG,,default
18947,Q3711325,Q177275,is in,KG,,default
18948,Q8441,Q10884,hit,KG,,default
18949,its,Q465501,occupants,Open_KG,head_,default
18950,Q844,Q9430,are,KG,,default
18951,Q11292,Q778,is in,KG,,default
18952,Hedren,Q308194,has,Open_KG,head_,default
18953,Q1340614,Q65,is in,KG,,default
18954,Q56194,Q11460,is in,KG,,default
18955,That,Incredible,has,Open_KG,head_tail_,default
18956,she,Q35473,smashed,Open_KG,head_,default
18957,Q40026,Q193078,suffered,KG,,default
18958,Q40026,Q6665461,almost lost,KG,,default
18959,Q7628770,Q5253643,is in,KG,,default
18960,Q12152,1988,is in,Open_KG,tail_,default
18961,he,Q33767,briefly looking at,Open_KG,head_,default
18962,his,Q216608,room,Open_KG,head_,default
18963,Q32483,Q7366,ripping off,KG,,default
18964,he,Q4049121,is,Open_KG,head_,default
18965,Q724095,Q3002150,were,KG,,default
18966,he,Q9597,struck,Open_KG,head_,default
18967,Q4049121,Q7260123,is with,KG,,default
18968,Filming,Q5151,was delayed for,Open_KG,head_,default
18969,Q1420,Q83180,crashed on,KG,,default
18970,He,killed,was,Open_KG,head_tail_,default
18971,Q271939,Q11185,has,KG,,default
18972,Q2599939,Q5459285,has,KG,,default
18973,Q5420179,Q2637489,is in,KG,,default
18974,him,Q7087,lose,Open_KG,head_,default
18975,He,Q4,fell to,Open_KG,head_,default
18976,Q8015856,Q15274454,rotor,KG,,default
18977,Q795064,Q4,crushed Chen to,KG,,default
18978,Q6738039,Q188889,is in,KG,,default
18979,Q697327,Q107478,is in,KG,,default
18980,Q81328,Q84,filming in,KG,,default
18981,Q265868,Q1073,were forced through,KG,,default
18982,Q265868,Q1073,were,KG,,default
18983,he,Q1073,was,Open_KG,head_,default
18984,he,Q1073,was,Open_KG,head_,default
18985,He,rushed,was,Open_KG,head_tail_,default
18986,Q731437,Q65,is in,KG,,default
18987,Q4975747,Q493378,is in,KG,,default
18988,Q2831,Q681708,Burn,KG,,default
18989,Q4,2009,is in,Open_KG,tail_,default
18990,Q12029,Q182442,is with,KG,,default
18991,Q2736071,Q3002150,was killed in,KG,,default
18992,Q11424,Q588596,During,KG,,default
18993,Q36970,paralyzed,was,Open_KG,tail_,default
18994,Q36970,nearly paralyzed,was,Open_KG,tail_,default
18995,Q36970,Q713102,dislocated,KG,,default
18996,Q4049121,Q11424,still went into,KG,,default
18997,Q1630422,Q47164,is in,KG,,default
18998,Q82642,200,exceed,Open_KG,tail_,default
18999,Q21510829,Q1072,causing,KG,,default
19000,Q1939150,Q34442,helicopter en,KG,,default
19001,Q5477678,Q1073,is in,KG,,default
19002,Q13147,right ear,is in,Open_KG,tail_,default
19003,Q188473,Q816,is in,KG,,default
19004,Q34486,Q6981625,fly beneath,KG,,default
19005,Nannuzzi,Q109,sued Stephen King on,Open_KG,head_,default
19006,Q27905,Q41487,was settled out,KG,,default
19007,Q4797060,recovered,was,Open_KG,tail_,default
19008,Q1420,Q188473,is in,KG,,default
19009,Q188473,Q816,is in,KG,,default
19010,Q172,Q134883,off,KG,,default
19011,he,Q3140,plunged into,Open_KG,head_,default
19012,Q32483,when riddled,is,Open_KG,tail_,default
19013,Q2221906,Q928,is in,KG,,default
19014,Q449520,Q4049121,filming,KG,,default
19015,Q160695,Q36864,was cut by,KG,,default
19016,Q12136,Q40,is in,KG,,default
19017,Q104791,Q133250,almost drowned during,KG,,default
19018,Q2783132,"$ 487,500",was awarded,Open_KG,tail_,default
19019,Q11424,Q2995644,was scrapped as,KG,,default
19020,Q1433373,injured,were,Open_KG,tail_,default
19021,Q3002150,Q121378,is in,KG,,default
19022,He,discovered,was,Open_KG,head_tail_,default
19023,Q715642,Q12152,died of,KG,,default
19024,Q36161,Q107478,is in,KG,,default
19025,they,Q375336,were trapped inside,Open_KG,head_,default
19026,he,hanged,being,Open_KG,head_tail_,default
19027,noose,lowered,was,Open_KG,head_tail_,default
19028,He,Q588570,recounted event in,Open_KG,head_,default
19029,his,Q588570,autobiography,Open_KG,head_,default
19030,Q5,Q3002150,were,KG,,default
19031,filming,Q928,is in,Open_KG,head_,default
19032,Q892438,Q620207,part of,KG,,default
19033,Q2685,Q486396,twirling,KG,,default
19034,Q2685,Q33767,has,KG,,default
19035,Q486396,Q40164,is with,KG,,default
19036,he,Q178692,was,Open_KG,head_,default
19037,he,Q178692,was,Open_KG,head_,default
19038,Q191104,Q4049121,filming,KG,,default
19039,break,filming,is in,Open_KG,head_tail_,default
19040,Q214227,Q308889,Tipping leapt out,KG,,default
19041,Q211283,drowned,was,Open_KG,tail_,default
19042,Q211283,nearly drowned,was,Open_KG,tail_,default
19043,Q133105,Q1420,were,KG,,default
19044,Q36970,Q133105,has,KG,,default
19045,Q81328,Q287,filming chase scene in,KG,,default
19046,Q39888,Q133105,is in,KG,,default
19047,filming,until wrapped,was,Open_KG,head_tail_,default
19048,he,until wrapped,have surgery,Open_KG,head_tail_,default
19049,filming,wrapped,was,Open_KG,head_tail_,default
19050,Q11424,Q441606,has,KG,,default
19051,Q132911,Q1939150,struck,KG,,default
19052,he,Q1314,airbag for,Open_KG,head_,default
19053,Q728,Q40821,requiring,KG,,default
19054,Q235034,Q728,wearing cast over,KG,,default
19055,Q235034,Q32483,has,KG,,default
19056,Q232120,Q668546,has,KG,,default
19057,Q4,Q4,led to,KG,,default
19058,they,on when snapped,were,Open_KG,head_tail_,default
19059,he,Q331744,tied to,Open_KG,head_,default
19060,Q21484844,stunt double,has,Open_KG,tail_,default
19061,Q21484844,Q1320597,'s stunt is,KG,,default
19062,She,Q1852039,was in,Open_KG,head_,default
19063,Q20968446,Q238053,flying debris from,KG,,default
19064,Hershman,Q4,has,Open_KG,head_,default
19065,Q353659,Q25235,limit,KG,,default
19066,Q319604,Q11446,parts of,KG,,default
19067,she,Q11460,wear wetsuit under,Open_KG,head_,default
19068,Winslet,Q1817674,has,Open_KG,head_,default
19069,Q1817674,her,nearly drowning,Open_KG,tail_,default
19070,Q18154806,Q18157325,is in,KG,,default
19071,Q1817674,her,pulling down,Open_KG,tail_,default
19072,Q1817674,her,drowning,Open_KG,tail_,default
19073,Q575,Q1952,is in,KG,,default
19074,Q4530173,Q637703,killed by,KG,,default
19075,Q11424,Q15328,has,KG,,default
19076,Q1277366,Q11424,stereographer 's,KG,,default
19077,Q8072,Q33837,is in,KG,,default
19078,Q1055787,Q33837,volcanoes in,KG,,default
19079,Q2625935,1999,Ranger at_time,Open_KG,tail_,default
19080,Q2263,Q133105,cut,KG,,default
19081,Q39073290,2000,Dragon at_time,Open_KG,tail_,default
19082,Q1472068,Q5092,is in,KG,,default
19083,Q981872,Q2624498,finally was taken off,KG,,default
19084,Q981872,Q2624498,was taken off,KG,,default
19085,Q296370,stand in,has,Open_KG,tail_,default
19086,Q238053,Q193078,escaping,KG,,default
19087,Q33999,Q11399,were,KG,,default
19088,Q178166,stunt double,has,Open_KG,tail_,default
19089,Q178166,Q5666742,'s stunt is,KG,,default
19090,He,killed instantly,was,Open_KG,head_tail_,default
19091,He,killed,was,Open_KG,head_tail_,default
19092,Q988925,It,Believe,Open_KG,tail_,default
19093,Q653916,Q79719,has,KG,,default
19094,Q34486,2013,is in,Open_KG,tail_,default
19095,Q133151,Q180323,broke,KG,,default
19096,his,Q180323,collarbone,Open_KG,head_,default
19097,Q133151,Q4049121,had,KG,,default
19098,Q16343,Q9655,release,KG,,default
19099,Q93352,Q5243613,off Dry is,KG,,default
19100,Q4049121,Q96,is in,KG,,default
19101,she,Q48741061,crashed into,Open_KG,head_,default
19102,Q125017,Q4049121,filming,KG,,default
19103,she,Q1420,control of,Open_KG,head_,default
19104,Q125017,Q37425,injured,KG,,default
19105,Q3758608,Q200841,role of,KG,,default
19106,Q351290,Q4049121,filming,KG,,default
