,subject,relation,object
19899,Tojo Clan,has,activities
19900,she,fall for,Kiryu
19901,training,is in,United States
19902,Japan,receive,training in United States
19903,Kiryu,on,phone
19904,Osakan police,is in,Yakuza 2
19905,Division 4,for investigator is,nicknamed Viper Bessho
19906,Osakan police,of investigator is,nicknamed Viper Bessho
19907,he,being transferred to,Osaka
19908,he,being,transferred
19909,Shintaro Kazama,figure to,Kazuma Kiryu
19910,Joji,was elite,Agency
19911,Joji,was,30 years ago elite member of National Police Agency within Secretariat of Minister of State 's international section
19912,State,of,international section
19913,his,brother,Shintaro
19914,brother,was known,Clan
19915,he,eventually joined,CIA
19916,Joji,became,close friend of Tamiya
19917,he,be,Shintaro
19918,Andre Richardson,Man in,Black
19919,Man,is in,Black
19920,Mine,being,shot
19921,Haruka,has,father
19922,He,is,Haruka 's father
19923,two,conceived,Haruka
19924,Yumi,Jingu,Haruka
19925,Prime Minister,from,daughter desperate for power
19926,Shintaro Kazama,shot,assassin
19927,Yukio Terada,lieutenant of,Omi Family
19928,Jingu,has,arrest
19929,Jingu 's men,order,killed
19930,Jingu,has,men
19931,Date,has,helicopter
19932,Jingu 's men,shot,Date 's helicopter
19933,Jingu 's men,order,to killed
19934,Kiryu,defeats,Jingu
19935,airbase,is in,Okinawa
19936,anti-criminal plot,is in,conjunction with CIA against
19937,his,friend,Joji Kazama
19938,Tamiya,has,B.M.D. project
19939,Tamiya,behind,proposal to thwart
19940,Ryukyu,to,Canal Grande hostess club
19941,CIA,thus threatening,Black Monday project
19942,Joji Kazama,assassinate,him
19943,He,is stopped by,Kiryu
19944,Kiryu,has,allies
19945,41 year old Detective Date,was,After Dojima 's murder only one not fully convinced of Kiryu 's guilt
19946,Kiryu,of,guilt
19947,Dojima,After,murder
19948,He,is father of,Saya Date
19949,Kiryu,is,After arrested
19950,Kiryu,is,arrested
19951,his words,is In,end
19952,his old mentor Kawara,is in,secret mission to uncover behind Jingweon mafia
19953,shoot out,is with,fake Kazuki
19954,His performances,is in,Classical Hollywood cinema films
19955,his career,is in,motion
19956,Bogart,portraying,gangsters
19957,Bogart,sometimes portraying,gangsters
19958,Bogart,'s detectives is,Sam Spade
19959,Maltese Falcon,in detectives is,Sam Spade
19960,1946,in,Big Sleep
19961,Bogart 's private detectives,is in,Maltese Falcon
19962,Bogart,has,private detectives in Maltese Falcon
19963,Phillip Marlowe,is in,1946 's Big Sleep
19964,detectives,is in,other noir films
19965,Ingrid Bergman,is in,Casablanca
19966,performances,is in,Treasure of Sierra Madre
19967,performances,is In,Lonely Place
19968,Bogart,has,performances
19969,World War II naval vessel commander,is in,Caine Mutiny
19970,cantankerous river steam launch skipper,is with,Katharine Hepburn 's missionary in World War I adventure
19971,Barefoot Contessa,is with,Ava Gardner
19972,Audrey Hepburn,is in,Sabrina
19973,his on screen competition,is with,William Holden for Audrey Hepburn in Sabrina
19974,Belmont,married in,June 1898
19975,Maud,descendant of,Mayflower passenger John Howland
19976,man,born on,Christmas Day
19977,Bogart,listed,it
19978,Bogart,has,birthday
19979,January 10,rules out,possibility of January 23 birthdate
19980,birth announcement,is in,Ontario County Times of January 10
19981,Belmont,was,cardiopulmonary
19982,Bogart,has,father
19983,Maud,was commercial,received
19984,study,is with,James Abbott McNeill Whistler
19985,her art training,is in,New York
19986,55 acre estate,is in,upstate New York
19987,Bogarts,had,cottage on 55 acre estate on Canandaigua Lake in upstate New York
19988,plays.He,had,two younger sisters
19989,he,was,When young
19990,Bogart,has,group of friends at lake
19991,he,was,young
19992,Bogart,has,parents
19993,Bogart 's parents,were busy in,their careers
19994,they,Very formal showed emotion towards,their children
19995,her offspring,call,her Maud
19996,she,was,When pleased
19997,she,was,pleased
19998,kiss,was event in,our family
19999,event,is in,our family
20000,He,was,indifferent
20001,he,was admitted based,family connections
20002,he,was,admitted
20003,he,go on to,Yale University
20004,His parents,were,deeply disappointed
20005,His parents,were deeply disappointed in,their failed plans for his future
20006,war,was,great stuff
20007,war,was great stuff At,eighteen
20008,He,developed,his characteristic lisp
20009,changing trains,is in,Boston
20010,Bogart,has,lip
20011,he,was,before recaptured
20012,other handcuff,was around,still prisoner 's wrist
20013,Bogart,later told,Niven
20014,Bogart,told,Niven
20015,he,screwed up,it
20016,he,stitching up,it
20017,Bogart,got scar during,wartime
20018,Brooks,said,Bogart
20019,actress Louise Brooks,met Bogart in,1924
20020,family,of,wealth
20021,his father,is in,poor health
20022,he,began,to rebel
20023,he,joining,Coast Guard Reserve
20024,his friendship,is with,Bill Brady Jr.
20025,whose father,had,show business connections
20026,William A. Brady,with,new World Films company
20027,Bogart,obtained office job with,William A. Brady 's new World Films company
20028,he,try,his hand
20029,Brady,for,daughter
20030,Alice,has,play A
20031,Bogart,was,stage manager
20032,Japanese butler,is in,Alice 's 1921 play Drifting
20033,acting,was,lowly
20034,Alice,in,1921 play Drifting
20035,Bogart,of,lip damage
20036,brawl,was purported,damage
20037,Bogart,worked steadily at,his craft
20038,Bogart,was,persistent
20039,Bogart,is According,Alexander Woollcott
20040,Other critics,were,kinder
20041,critics,were,kinder
20042,that,be,if possible
20043,Lynn Starling,in,comedy
20044,Gramercy Park Hotel,is in,New York City
20045,mother,at,apartment
20046,her mother 's apartment,is in,Hartford
20047,its brief run,is in,1924
20048,Vitaphone,Broadway Like,That
20049,contract,is with,Fox Film Corporation
20050,John Ford,has,early sound film Up River
20051,his only film,is with,Bogart
20052,they,had,major roles as inmates
20053,they,had,major roles
20054,they,major roles as,inmates
20055,Bogart,film Up,River
20056,He,was,billed fourth
20057,supporting role,is in,Bad Sister
20058,supporting role,is with,Bette Davis
20059,Tracy,was replaced by,Fredric March
20060,Both,wanted however,top billing
20061,his father,died in,1934
20062,father,has,gold ring
20063,father,At,deathbed
20064,Bogart,has,second marriage
20065,Petrified Forest,is In,Hollywood permanently
20066,Its,producer,Arthur Hopkins
20067,role,is in,Robert E. Sherwood 's forthcoming play
20068,Robert E. Sherwood,'s play is,Petrified Forest
20069,Robert E. Sherwood,in,forthcoming play
20070,He,was antiquated,spent
20071,Broadhurst Theatre,is in,New York
20072,Leslie Howard,was,Although star
20073,he,However felt,insecure
20074,he,However still felt,insecure
20075,Bette Davis,were,cast
20076,Bogart,star with,him
20077,he,wanted,Bogart
20078,film,fulfill,his contract
20079,Howard,is in,Scotland
20080,they,cast,Bogart
20081,Bogart,use,stage name
20082,Bogart,has,menace
20083,Bogart 's menace,leaves nothing According,Variety
20084,actor,be,psychopathic
20085,film,earning,"$ 500,000 in rentals"
20086,film,made,Bogart star
20087,Howard,has,favor
20088,his,daughter,Leslie Howard Bogart
20089,his,success,movie
20090,Petrified Forest,in success is,movie
20091,his success,is in,Petrified Forest
20092,he,was proud of,his success
20093,it,derived from,gangster roles
20094,he,was,Although proud of his success
20095,There must something,is in,my tone of voice
20096,Nobody,likes,me
20097,jailbird,is in,9
20098,wounded stoical cynical charming vulnerable mocking loner,is with,code of honor
20099,his own suits,is in,his films
20100,he,used,Zero
20101,his,dog,Zero
20102,character,has,dog
20103,studio,is with,other less malleable stars such Bette Davis
20104,His disputes,is with,Warner Bros.
20105,James Cagney,Leading men,Edward G. Robinson
20106,studio,of,better scripts
20107,Nevil Shute,in,1939 novel
20108,supporting roles,is in,films such Angels with Dirty Faces
20109,Bogart,has,roles
20110,Angels,is with,Dirty Faces
20111,Your,Lady,1938
20112,Your,Lady,hillbilly musical
20113,I,was making,stinking movie
20114,His,wife,Mary
20115,stage,hit in,Touch of Brimstone
20116,they,divorced in,1937
20117,Bogart,was unfaithful to,her
20118,Methot,has,drinking
20119,Bogart,needled,her
20120,Bogart Methot marriage,was sequel to,Civil War
20121,their,friend,Julius Epstein
20122,he,named,his nickname for Methot
20123,he,named,Sluggy
20124,I,like,jealous wife
20125,Sluggy,nickname for,Methot
20126,Methot,has,influence
20127,Bogart,avoided,premieres
20128,he,spoke up publicly about,it
20129,him,privately avoid,trouble with studios
20130,trouble,is with,studios
20131,it,having,effect
20132,anyone,making,thousand dollars week
20133,Bogart,has,friend
20134,W. R. Burnett,author of,novel
20135,Caesar,was,based
20136,Little Caesar,was,based
20137,Bogart 's casting,Raft for,part
20138,Walsh,initially opposed,preferring Raft for part
20139,Bogart,has,casting
20140,Bogart,'s casting is,preferring Raft for part
20141,Bogart,has,last major film as gangster
20142,supporting role,released in,1942
20143,student,was,lifelong
20144,He,subscribed to,Harvard Law Review
20145,his best friends,some of were,screenwriters
20146,Bogart,admired,writers
20147,Both,were,rebellious
20148,John Huston,has,directorial debut
20149,it,was basis of,two earlier film versions
20150,second,starring,Bette Davis
20151,Raft contract,more established than,Bogart
20152,Producer Hal B. Wallis,cast George Raft as,leading man
20153,role,make,Manpower with director Raoul Walsh
20154,Manpower,is with,director Raoul Walsh
20155,Bogart,has,sharp timing
20156,film,to,quick action
20157,It,major triumph for,Huston
20158,It,was,commercial
20159,It,is,practically masterpiece
20160,Rick Blaine,hiding from,suspicious past
20161,his first romantic lead,is in,Casablanca 1942
20162,Bogart,has,character
20163,film,directed by,Michael Curtiz
20164,Ingrid Bergman,film,Dooley Wilson
20165,Bogart,has,on screen relationship
20166,co-stars,hardly spoke Off,set
20167,chess player,metaphor for,relationships
20168,she,was,taller
20169,she,was,Because taller
20170,enjoying games,is with,crew members
20171,tournament level chess,division below,master
20172,fourth place,is in,to first studio 's roster
20173,film,finally overtaking,James Cagney
20174,conflicts,is with,front office
20175,He,was still required,to perform in films with weak scripts leading to conflicts with front office
20176,piano player,played by,Hoagy Carmichael
20177,he,nicknamed,her Baby
20178,Bacall,by,high cheekbones
20179,their difference,is in,age
20180,Bogart first,is with,leading lady
20181,His early meetings,is with,Bacall
20182,their separations,bridged by,love letters
20183,Bogart,did,his best
20184,Bacall,make,her film
20185,Bacall,make,her first film
20186,her,steal,scenes
20187,his best,highlight,her role
20188,Bogart,was usurping,role
20189,his,starlets,married director
20190,Bogart,went after,Hawks
20191,novel,is with,script help from William Faulkner
20192,novel,based Sleep is,1946
20193,actor,has,performance
20194,Bogart,be tough without,gun
20195,Bacall,has,box office chemistry
20196,release,is in,1945
20197,Bacall,of,scenes
20198,Bogart,is convincing as,private detective Philip Marlowe
20199,Bogart,of,close friend
20200,Bogart,'s friend is,Pulitzer Prize winning author Louis Bromfield
20201,Los Angeles,of,Holmby Hills
20202,marriage,was,happy
20203,Bogart,has,drinking
20204,Bogart 's drinking,was,sometimes problematic
20205,Bogart 's drinking,was,problematic
20206,Bogart,offering,Coast Guard use of Santana
20207,He,was turned down due,age
20208,He,was turned down due,his age
20209,he,was,convicted
20210,he,sentenced to,prison
20211,Kanfer,was,noir
20212,Bogart,According,biographer
20213,it,was,noir
20214,hurricane,is in,hotel owned by Bacall 's
20215,father,is in,law
20216,Rocco,as,physically abused alcoholic girlfriend
20217,three gold prospectors,is in,Mexico
20218,Treasure,is with,new contract
20219,John Huston,has,father
20220,only performer,is in,Hollywood
20221,film,had,mediocre box office results
20222,House Un-American Activities Committee,as,harassment of Hollywood screenwriters
20223,cabin cruiser,is in,Key Largo
20224,his,company,Santana Productions
20225,other stars,further erode,major studios ' power
20226,Baby,Makes,1949
20227,Santana,has,sale
20228,embittered writer,is with,violent reputation
20229,Dixon Steele,writer with,violent reputation
20230,primary suspect,is in,murder of young woman
20231,role,is closest to,real Bogart
20232,pride,is in,his art
20233,film character,has,pride
20234,actor,has,favorite meal
20235,Bogart,of,personal habits
20236,his interest,is in,Santana
20237,his deep longstanding friendship,is with,Bogart
20238,Huston,has,love of adventure
20239,Bacall,leaving,their young son
20240,their young son,is in,Los Angeles
20241,Bacall,leaving,their young son in Los Angeles
20242,trip,is with,junket through Europe including visit
20243,Bogarts,began,trip with junket through Europe including visit with Pope Pius XII
20244,visit,is with,Pope Pius XII
20245,She,Luxed,my undies
20246,everyone,is in,cast
20247,Huston,has,insistence on using real leeches in key scene
20248,fakes,were,employed
20249,reasonable fakes,were,employed
20250,Huston 's insistence,is in,key scene
20251,he,kept until,his death
20252,Bogart,has,early love of boats
20253,he,considered,it best of his film career
20254,it,best of,his film career
20255,Academy Award,award,his
20256,Best Actor,for Award is,his only award of three nominations
20257,Academy Award,is in,1951
20258,Academy Award,award of,three nominations
20259,he,won,his speech
20260,It,'s long,stage
20261,It,has,nicer
20262,dull performances,is in,dull pictures
20263,African Queen,was,Bogart 's first starring Technicolor role
20264,Bogart,has,first starring Technicolor role
20265,Edward Dmytryk,'s drama is,Caine Mutiny
20266,Edward Dmytryk,in,drama
20267,role,is in,Edward Dmytryk 's drama
20268,strong performance,is in,lead
20269,he,was subject of,June 7 1954 Time magazine cover story
20270,his roles,is in,Maltese Falcon
20271,whose small mindedness,destroys,him
20272,Bogart,has,Queeg
20273,his portrayal,is in,Treasure of Sierra Madre
20274,whose small mindedness,eventually destroys,him
20275,Broadway version,publicity for,film
20276,Bogart,was,Although lukewarm about part
20277,handshake,is with,Wilder
20278,script,about,last minute drafting
20279,Wilder,is,kind of Prussian German with riding crop
20280,Bogart 's ideal director,is in,style
20281,Bogart,of,ideal director in style
20282,kind,is with,riding crop
20283,I,work,with crock of crap
20284,gags,is with,manly manner of melting
20285,review,is in,New York Times
20286,Bogart,was incredibly adroit according,review in New York Times
20287,broken down man,is In,Hollywood backstory Bogart
20288,Hollywood backstory Bogart,In man is,cynical director narrator
20289,Bogart,was annoyed by,her inexperienced performance
20290,his Rat,Pack,buddy Frank Sinatra
20291,Bogart,was annoyed by,her performance
20292,film,as,strongest part
20293,actor,was generally praised as,film 's strongest part
20294,his discreet affair,is with,Verita Bouvaire Thompson
20295,three,traveled together after,shooting
20296,Bogart,could,could generous
20297,he,feeding,Tierney her lines
20298,he,coached,her
20299,sister,because,bouts of depression
20300,Tierney,seek,treatment
20301,He,insisted on,her
20302,his co-star,is in,Michael Curtiz 's We
20303,him,surviving kinescope of,live telecast
20304,Henry Fonda,played,Leslie Howard 's role
20305,Leslie Howard,has,role
20306,entitled Bold Venture,is with,Bacall
20307,Bogart,has,character
20308,character,has,nickname in To
20309,Bogart 's character 's nickname,is in,To
20310,Stephen,hosted,television special about his father on Turner Classic Movies
20311,couple,'s daughter is,Leslie Howard Bogart
20312,couple,has,daughter
20313,Bogart 's friend,is in,Petrified Forest
20314,Leslie Howard,friend in,Petrified Forest
20315,Bogart,has,friend in Petrified Forest
20316,Bogart,was,founding
20317,Rat Pack Bogart,original leader of,Hollywood Rat Pack
20318,long party,is in,Las Vegas
20319,Frank Sinatra,by husband is,her
20320,his,wife,Gloria
20321,name,was made,official at Romanoff 's in Beverly Hills
20322,at Romanoff,is in,Beverly Hills
20323,Sinatra,was dubbed,Pack Leader
20324,group,has,purpose
20325,long term deal,is with,Warner Bros.
20326,his health,was failing In,1955
20327,his health,however was failing In,1955
20328,Bogart,had developed,esophageal cancer
20329,Bogart,had developed,cancer
20330,two lymph nodes,esophagus,rib
20331,It,accommodate,his wheelchair
20332,It,was,then altered
20333,Spence,has,hand
20334,Spence,has,heart
20335,Bogart,by,favorite composers
20336,Hollywood,of,biggest stars including Hepburn
20337,Tracy,give,eulogy
20338,he,was,too upset however
20339,similar duty,is in,fountains of Hollywood
20340,Bogart,was,cremated
20341,his ashes,were interred in,Forest Lawn Memorial Park 's Columbarium of Eternal Light
20342,its Garden,is in,Glendale
20343,Forest Lawn Memorial Park,in,Columbarium of Eternal Light
20344,he,had given to,Bacall
20345,it,was,inscribed
20346,it,was,On inscribed
20347,Bogart,has,estate
20348,Grauman,at,Chinese Theatre
20349,footprints,is in,cement
20350,footprints,is in,ceremony at Grauman 's Chinese Theatre
20351,Bogart,was,On February 8 1960 posthumously inducted into Hollywood Walk of Fame with motion picture star at 6322 Hollywood Boulevard
20352,Brattle Theatre,is in,Greenwich Village
20353,Brattle Theatre,is in,Cambridge
20354,his,death,Bogie cult formed at Brattle Theatre in Cambridge in Greenwich Village
20355,Err:520,is in,France
20356,Luc Godard,'s Breathless is,1960
20357,Luc Godard,has,Breathless
20358,Woody Allen,in,comic paean
20359,difficulties,is with,women
20360,Allen,has,character
20361,Sam,aids 's,Bogart
20362,Bogart,has,ghost aids
20363,stamp,is in,its Legends of Hollywood
20364,1997,in series is,third figure recognized
20365,series,is in,1997
20366,chapter,is in,Bogart legacy
20367,Broadway,is in,New York City
20368,her,son,Stephen Bogart
20369,Man,is with,Bogart 's Face
20370,Bogart,with,Face
20371,Bogart,of,films
20372,Humphrey Bogart,is in,libraries
20373,Humphrey Bogart fans Humphrey Bogart player profile,for resource is,1947 by Ned Scott
20374,actors,is with,Academy Award nominations List of members of American Legion References
20375,online resource,1947 by,Ned Scott
20376,Chessgames.com Film Noir Portraits,at resource is,1947 by Ned Scott
20377,Films,categorised by,art movement
20378,Animation,subsidiary of,Warner Bros.
20379,action,is with,animation
20380,topic,is in,specific countries
20381,category,covers,topic of cinema in specific countries
20382,city,is in,Morocco
20383,it,is,Measured by acreage world 's largest film studio
20384,view,is in,2014 Biennial at Whitney Museum of American Art
20385,mother,has,drawings
20386,mother,with,private drawings
20387,pop culture,is with,his mother 's private drawings
20388,Satterwhite,has,mother
20389,Satterwhite,turns,them
20390,drawings,is with,other photographs
20391,live action,is with,digital creation
20392,Satterwhite,has,digital avatar
20393,He,combines,elements of choreographer William Forsythe 's dance techniques
20394,choreographer William Forsythe,of,dance techniques
20395,his,body,digitally rendered bodies
20396,His mother 's images,are connected with,art historical references
20397,his,body,art historical references
20398,mother,has,images
20399,His mother 's images,are,connected
20400,theater,is,giant ranging
20401,It,is complemented with,"large 50,000 80,000 watt sound system"
20402,Princess Cruises,in,fleet
20403,with other ships,is in,Princess Cruises 's fleet
20404,popcorn,is,provided
20405,Carnival,named,their poolside theaters
20406,Carnival,as,Seaside Theater
20407,Costa Cruises,also has introduced,poolside theaters
20408,Costa Cruises,also has introduced,poolside theaters on its Concordia class fleet
20409,partnership,is with,DreamWorks Animation
20410,InTru3D brand,was,announced at Intel Developer Forum on August 20 2008 during Renee James ’ keynote
20411,Renee James,during,keynote
20412,first feature film,produced by,DreamWorks utilizing InTru3D
20413,last feature film,produced by,DreamWorks utilizing InTru3D
20414,Megamind,Puss in,Boots
20415,Puss,is in,Boots
20416,DreamWorks Animation,has also released,other films
20417,TV,is in,households
20418,it,be viewed in,3D
20419,Europe,has,Wanted Rise of Guardians
20420,Intel press release,category on,Intel blog Brief information
20421,continent,by Films is,shooting location
20422,Mendik,include,Begotten
20423,He,allowed,its inclusion
20424,Mendik,focus on,on more transgressive films
20425,Mendik,preferred,to focus on including more transgressive films
20426,Mathijs,include,Princess Bride
20427,resulting winner,was In,Bruges
20428,authors,performed,public survey
20429,Wahlberg,is,American
20430,he,has,along with media produced
20431,he,has,produced
20432,his appearances,is in,film
20433,film,has,principal song Over Rainbow
20434,Rainbow,Over song is,perhaps most famous song ever written for film
20435,film,'s song is,perhaps most famous song ever written for film
20436,Arlen,has,songs
20437,speakers,is with,distinct Boston accent
20438,last three songs,is in,film
20439,Leo,few months to,to film 's release
20440,planning,subject of,episode
20441,film,of planning is,subject
20442,soundtrack album,is in,sense
20443,film,of,music arrangers
20444,album,was long,about twenty minutes
20445,I,King of,Forest
20446,We,'re,dirty
20447,room,is in,Emerald City
20448,Wash,group,Brush
20449,sound chipmunk,is in,as film
20450,unnamed soprano,is with,operatic voice
20451,film,has,premiere
20452,Cliff Edwards,Cricket 's,film
20453,album,being,reissued in 45 rpm version as 10 inch LP
20454,film,has,Jiminy Cricket
20455,Disney,from,Pinocchio
20456,Disney,'s Pinocchio is,1940
20457,MGM Records,first released,authentic soundtrack album of Wizard of Oz
20458,Judy Garland,has,1939 cover versions of Over Rainbow
20459,Garland,of,Decca singles
20460,75th anniversary Wizard,is in,1940 album
20461,first time,is in,2014
20462,Judy Garland,is with,Ken Darby Singers
20463,Ken Darby Singers,is with,Victor Young
20464,Judy Garland,is with,Victor Young
20465,track,originally covered,two sides of 78 rpm record highly unusual for musical number from film
20466,Ken Darby Singers,is with,Victor Young
20467,Ken Darby Singers,is with,Victor Young
20468,Ken Darby Singers,is with,Victor Young
20469,Ken Darby Singers,with Arlen is,soloist
20470,Harold Arlen,is with,Ken Darby Singers
20471,we,'re trying,to count
20472,we,'re,busy
20473,we,'re trying,to count
20474,scene,is in,Haunted Forest
20475,Tin Man,of,cottage
20476,people,appearance on,roof of Tin Man 's cottage
20477,people,appearance of,witch
20478,Miss Gulch,including people is,talking apple trees scene
20479,Tin Man,has,instrumental dance to omitted from LP release
20480,Miss Gulch,including people is,appearance of witch on roof of Tin Man 's cottage
20481,orchestral main title music,of half is,moments during tornado scene
20482,Miss Gulch,including people is,poppy field sequence
20483,half,moments during,tornado scene
20484,witch,to,castle
20485,Dorothy,has,friends
20486,soundtrack recording,eventually supplanted,1940 studio album
20487,1989 release,also contained,original deleted film version of Jitterbug albeit without its full intro as bonus track
20488,film,of,1998 re-release
20489,songs,is in,stereo sound
20490,film,of,cast
20491,true cover version,is with,none of film 's cast
20492,Victor Herbert 's Babes,is in,Toyland
20493,Victor Herbert,from,Babes in Toyland
20494,It,featured,such artists
20495,It,featured,such artists as Jackson Beck
20496,Rhino Records Deluxe Soundtrack Album ===,is In,1995
20497,Herbert Stothart,of,background music
20498,Wicked Witch,outside,castle since included
20499,film,in,shortened soundtrack
20500,CD,is in,stereo
20501,MGM,of,original multi-track recordings of music
20502,Singer,has,Midgets
20503,Music,is in,film
20504,Witch,Munchkins As,Mayor of Munchkin City
20505,Citizens,is in,film
20506,Reprise Head Winkie Guard,Citizens of,Emerald CityInstrumentals
20507,Reprise,Land of,Oz
20508,Reprise Head Winkie Guard,Citizens in,film
20509,Glinda,'s theme is,dynamic full orchestra version
20510,Glinda,has,theme
20511,Witch,has,theme
20512,Miss Gulch,has,Witch
20513,This,repeated,seven note motif
20514,Wizard Glinda,for,theme 6 note pattern
20515,My Castle,is in,Courtyard
20516,Happy Farmer,establishing scenes in,Kansas
20517,establishing scenes,is in,Kansas
20518,Schumann,from,Album for Young opening scene
20519,ride,is in,cyclone
20520,Miss Gulch,from,basket
20521,sheriff,is In,Shade of Old Apple Tree
20522,witch,at,castle traditional
20523,final scene,is in,Kansas
20524,Dorothy,clicks,her heels
20525,songs,main purpose,pure audio background music from movie
20526,most people,are,familiar
20527,other tracks,are,instrumentals
20528,tracks,are,instrumentals
20529,We,vocal Thank Very Sweetly,You
20530,We,Thank Very Sweetly,You
20531,Disc one Main Title Trouble,is in,School
20532,Jitterbug,'s Attack is,Toto Brings News
20533,Wild Beasts Lion,'s Confession is,outtake
20534,Wild Beasts Lion,of,Confession
20535,Jitterbug,'s Attack is,Castle
20536,Guard,Exit 's,Wizard
20537,vocal Attack,Castle 's,Witch
20538,Witch,'s Castle is,extended version
20539,extended version Yellow Brick Road,Leaving,Munchkinland Good Fairy
20540,Wizard,has,Exit
20541,Witch,has,Castle
20542,Winkies Dorothy,of,Rescue
20543,alternate take,is with,unused tag
20544,Wizard,has,Expose Emerald City Graduation
20545,alternate version,is with,heavenly choir
20546,Oz,of Land is,orchestral angles
20547,Buddy Ebsen Lion,by,Confession
20548,Buddy Ebsen Lion,'s Confession is,Poppies
20549,Many other studio,albums of,songs
20550,camera operator Owen Carter,save,her
20551,prop pistol,being,fired
20552,soldiers,break down,locked door
20553,reload,is with,blanks
20554,Charles Chandler,is in,head
20555,extras,be thrown over,side of Aztec pyramid
20556,wood,is in,paper
20557,sand,create,appearance of stone
20558,they,side of,structure
20559,Silent era star Wallace Reid,was,badly injured in train crash during filming in Oregon
20560,filming,is in,Oregon
20561,he,could keep,working
20562,bomb,was,too late real
20563,prop bomb,is with,fuse
20564,It,blowing off,thumb
20565,Wilshire Blvd.,is in,Los Angeles
20566,Noomis,performing,stunt
20567,six broken ribs,Noomis,fractured pelvis
20568,Kerwood,was on,when still board
20569,Kerwood,was on,when board
20570,Buster Keaton,hanging from,water tower
20571,he,ran into,distance
20572,Keaton 's neck,been,fractured
20573,Keaton,has,neck
20574,location,is in,San Antonio
20575,Her neck,were,saved
20576,Mansfield,of,car
20577,Circus Maximus,is in,Rome
20578,epic comedy,is in,Oregon
20579,Assistant director Harry Barnes,was,accidentally hit in face by blank charge
20580,Grace,has,safety straps
20581,Grace,again performing stunt work within,year
20582,Noah,has,Ark
20583,deaths,were instrumental in,introduction of film safety regulations following year
20584,scene,was,until completed despite intense heat
20585,contact,is with,hot studio light
20586,burn tumorous,leading to,his death
20587,Three pilots,were killed during,filming
20588,They,were,proven
20589,plastic surgery,undo,damage to his face
20590,Such Men,Are,Dangerous
20591,bodies,were,recovered
20592,emergency appendectomy,disregarded concerns,Colbert
20593,Colbert,being,to hospitalized with severe fever two days later
20594,high temperatures,is in,Buttercup Valley near Yuma
20595,midday break,be,shortened
20596,that would risk,is in,120 degree F conditions
20597,they,be,had to euthanized
20598,they,be,had euthanized
20599,their legs,be,shot
20600,their legs,be shot during,filming
20601,it,was,where ridden off cliff into river
20602,her,character,Wicked Witch of West
20603,her character,Witch of,West
20604,He,continue,working on production
20605,He,was replaced by,Jack Haley
20606,Actor Ray Milland,filming cavalry charge scene through,small village
20607,Milland,fell into,pile of masonry
20608,horse 's saddle,making,planned jump over obstacle
20609,horse,has,saddle
20610,hospital,is with,concussion
20611,him,use wheelchair for,next two weeks
20612,Welles,grabbing,curtain
20613,anti-British propaganda film,made by,Nazi Germany
20614,They,Died with,Their Boots
20615,whose horse,tripped,as he rode alongside Errol Flynn
20616,Budlong,died few hours later in,Los Angeles hospital
20617,under water scenes,is in,production
20618,actor John Wayne,filming,under water scenes in production
20619,Their,Honour,unfinished 1943
20620,This,been British,novel
20621,This,was British,novel
20622,film project,was abandoned After,incident
20623,he,struck,tree
20624,canoe,go over,waterfall
20625,water,below,surface
20626,she,photographing,shop in Campo San Barnaba
20627,shop,is in,Campo San Barnaba
20628,Hepburn,to,reluctance then required
20629,Hepburn,has,eyes
20630,United States government,of,Nevada Test Site
20631,Director Dick Powell,committed suicide in,1963
20632,Pedro Armendáriz,was diagnosed with,kidney cancer
20633,Pedro Armendáriz,was,diagnosed with kidney cancer in 1960
20634,he,learned,his condition
20635,Cast member actor John Hoyt,died in,1991
20636,Hayward,has,relatives
20637,Hayward,has,son
20638,cast members,developed,wide variety of cancers
20639,only time,is in,his career
20640,him,be replaced for,remainder of shoot
20641,Charlton Heston,has,stunt double
20642,horse fall,is in,Louisiana
20643,They,Came to,Cordura 1959
20644,In York,has,own words
20645,They,let,loose
20646,actor,has,shoulders
20647,production,was on,tight schedule
20648,production,was,tight
20649,20 minutes,do so,tight schedule
20650,Sachs,filming,scene
20651,McGraw,has,jaw
20652,Actress Audrey Hepburn,was thrown off horse,while rehearsing for scene
20653,Actress Audrey Hepburn,rehearsing for,scene
20654,Hepburn,spent,six weeks recovering at hospital
20655,Actor David Niven,almost drowned during,filming of ocean storm scene inside large water tank
20656,seven weeks,is in,hospital
20657,Mitchum,felt,impact for days afterward
20658,Burudchenko,was,three months pregnant at time of her death
20659,West,Was,How Won 1962
20660,Stuntman Bob Morgan,husband of,Yvonne De Carlo
20661,Actor Peter O'Toole,was,nearly killed
20662,fight scene,is with,Henry Silva
20663,starring role,is in,Dirty Harry
20664,surgery,alleviate,pains
20665,problems,is with,his hand
20666,parachutists,simulate,bail out
20667,Sellers,filming,take as Kong
20668,Scott Simon,claims,titular character
20669,his,character,Oddjob
20670,huge wave,washed overboard,him
20671,double,has,actual oxygen line
20672,Rawhide star Eric Fleming,was filming On,28 September 1966
20673,Fleming,has,dugout canoe
20674,Actor Nico Minardos,swim to,safety
20675,His body,was,recovered three days later
20676,His body,was,recovered
20677,autogyro,by,blade
20678,autogyro flight scene,is in,Miyazaki Prefecture
20679,doctors,is in,area
20680,Streiner,has,life
20681,his character,is,killed
20682,blood squib,attached to,Nesbitt
